"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","456,268","56,014","155,009","208,917","36,328","3,344,006","133,650","305,297","1,014,342","721,609","292,064","546,674","330,370","2,905,059","877,044","641,867","572,149","176,282","595,256","523,636","177,156","1,279,449","1,123,265","332,235","827,434","686,009","191,371","","2,350,417","2,080,594","676,861","2,294,648","2,042,301","665,149","836,006","701,586","153,641","17,928","14,114","3,183","46,251","40,139","23,711","1,302","1,201","184","37,677","22,021","4,511","54,425","45,404","14,953","105,472","67,843","17,915","","(X)","(X)","(X)","(X)","","37,574","23,001","30,545","34,832","51,041","62,044"
"        Margin of Error","","±1,307","±1,667","±3,253","±3,296","±1,803","±1,279","±3,106","±5,130","±8,502","±7,153","±4,594","±6,282","±5,948","±6,368","±8,496","±1,466","±2,776","±3,560","±1,294","±2,502","±3,589","±1,490","±3,513","±4,419","±657","±2,958","±3,044","","±1,957","±5,043","±7,038","±942","±4,708","±6,953","±1,699","±3,226","±3,328","±1,038","±779","±350","±930","±1,207","±909","±233","±239","±109","±1,566","±1,182","±578","±2,141","±1,966","±1,216","±726","±1,550","±1,132","","(X)","(X)","(X)","(X)","","±322","±618","±254","±395","±581","±794"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","12.3%","34.0%","45.8%","8.0%","(X)","4.0%","9.1%","30.3%","21.6%","8.7%","16.3%","9.9%","86.9%","26.2%","(X)","89.1%","27.5%","(X)","88.0%","29.8%","(X)","87.8%","26.0%","(X)","82.9%","23.1%","","(X)","88.5%","28.8%","(X)","89.0%","29.0%","(X)","83.9%","18.4%","(X)","78.7%","17.8%","(X)","86.8%","51.3%","(X)","92.2%","14.1%","(X)","58.4%","12.0%","(X)","83.4%","27.5%","(X)","64.3%","17.0%","","28.5%","15.3%","10.9%","4.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.4","±0.7","±0.7","±0.4","(X)","±0.1","±0.2","±0.3","±0.2","±0.1","±0.2","±0.2","±0.2","±0.3","(X)","±0.4","±0.5","(X)","±0.4","±0.6","(X)","±0.2","±0.3","(X)","±0.4","±0.4","","(X)","±0.2","±0.3","(X)","±0.2","±0.3","(X)","±0.3","±0.4","(X)","±3.6","±2.0","(X)","±1.8","±1.9","(X)","±5.8","±7.6","(X)","±2.0","±1.5","(X)","±1.5","±1.8","(X)","±1.4","±1.1","","±0.7","±0.3","±0.3","±0.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","229,124","32,320","85,209","96,817","14,778","1,578,975","70,512","157,429","499,138","333,954","116,611","253,303","148,028","1,351,034","401,331","317,069","276,342","75,248","287,534","246,682","74,648","614,164","527,036","150,997","360,208","300,974","100,438","","1,130,629","990,549","327,008","1,100,871","970,841","320,859","372,547","302,650","53,055","9,014","6,674","1,419","20,938","18,482","11,409","364","352","110","20,170","11,450","1,817","25,313","20,877","6,513","56,427","35,278","8,929","","(X)","(X)","(X)","(X)","","45,874","27,516","36,963","45,102","65,888","85,544"
"        Margin of Error","","±922","±1,206","±2,060","±2,207","±1,267","±966","±2,131","±3,130","±5,342","±4,394","±3,187","±3,735","±3,385","±3,958","±4,789","±1,013","±1,847","±2,235","±937","±1,634","±2,012","±1,173","±2,621","±2,707","±447","±1,723","±1,759","","±1,155","±2,862","±4,003","±610","±2,673","±3,999","±1,045","±2,466","±1,902","±747","±588","±291","±647","±663","±652","±148","±150","±90","±1,036","±776","±352","±1,360","±1,200","±662","±638","±1,048","±731","","(X)","(X)","(X)","(X)","","±410","±726","±515","±678","±1,080","±1,731"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.1%","37.2%","42.3%","6.4%","(X)","4.5%","10.0%","31.6%","21.2%","7.4%","16.0%","9.4%","85.6%","25.4%","(X)","87.2%","23.7%","(X)","85.8%","26.0%","(X)","85.8%","24.6%","(X)","83.6%","27.9%","","(X)","87.6%","28.9%","(X)","88.2%","29.1%","(X)","81.2%","14.2%","(X)","74.0%","15.7%","(X)","88.3%","54.5%","(X)","96.7%","30.2%","(X)","56.8%","9.0%","(X)","82.5%","25.7%","(X)","62.5%","15.8%","","24.2%","11.9%","7.7%","3.6%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.5","±0.9","±1.0","±0.6","(X)","±0.1","±0.2","±0.3","±0.3","±0.2","±0.2","±0.2","±0.2","±0.3","(X)","±0.5","±0.7","(X)","±0.5","±0.7","(X)","±0.4","±0.4","(X)","±0.5","±0.5","","(X)","±0.2","±0.4","(X)","±0.2","±0.4","(X)","±0.6","±0.5","(X)","±4.3","±3.1","(X)","±2.1","±3.1","(X)","±9.2","±20.1","(X)","±2.8","±1.7","(X)","±2.0","±2.1","(X)","±1.8","±1.3","","±0.7","±0.4","±0.4","±0.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","227,144","23,694","69,800","112,100","21,550","1,765,031","63,138","147,868","515,204","387,655","175,453","293,371","182,342","1,554,025","475,713","324,798","295,807","101,034","307,722","276,954","102,508","665,285","596,229","181,238","467,226","385,035","90,933","","1,219,788","1,090,045","349,853","1,193,777","1,071,460","344,290","463,459","398,936","100,586","8,914","7,440","1,764","25,313","21,657","12,302","938","849","74","17,507","10,571","2,694","29,112","24,527","8,440","49,045","32,565","8,986","","(X)","(X)","(X)","(X)","","30,772","17,083","23,267","28,442","41,577","53,851"
"        Margin of Error","","±801","±1,168","±2,009","±2,182","±1,281","±873","±1,799","±3,428","±5,516","±5,357","±3,383","±4,092","±3,669","±3,850","±5,192","±824","±1,508","±2,290","±802","±1,619","±2,335","±834","±1,877","±3,065","±463","±2,122","±1,958","","±1,187","±3,178","±4,459","±628","±3,064","±4,363","±1,175","±1,968","±2,360","±575","±503","±265","±623","±767","±644","±166","±174","±49","±1,053","±842","±490","±1,307","±1,233","±866","±505","±971","±758","","(X)","(X)","(X)","(X)","","±224","±457","±398","±515","±444","±509"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.4%","30.7%","49.4%","9.5%","(X)","3.6%","8.4%","29.2%","22.0%","9.9%","16.6%","10.3%","88.0%","27.0%","(X)","91.1%","31.1%","(X)","90.0%","33.3%","(X)","89.6%","27.2%","(X)","82.4%","19.5%","","(X)","89.4%","28.7%","(X)","89.8%","28.8%","(X)","86.1%","21.7%","(X)","83.5%","19.8%","(X)","85.6%","48.6%","(X)","90.5%","7.9%","(X)","60.4%","15.4%","(X)","84.3%","29.0%","(X)","66.4%","18.3%","","33.0%","18.5%","13.4%","4.9%","","(X)","(X)","(X)","(X)","(X)","(X)"
