"Label (Grouping)","HOUSING OCCUPANCY","HOUSING OCCUPANCY!!Total housing units","HOUSING OCCUPANCY!!Total housing units!!Occupied housing units","HOUSING OCCUPANCY!!Total housing units!!Vacant housing units","HOUSING OCCUPANCY!!Total housing units!!Homeowner vacancy rate","HOUSING OCCUPANCY!!Total housing units!!Rental vacancy rate","UNITS IN STRUCTURE","UNITS IN STRUCTURE!!Total housing units","UNITS IN STRUCTURE!!Total housing units!!1-unit, detached","UNITS IN STRUCTURE!!Total housing units!!1-unit, attached","UNITS IN STRUCTURE!!Total housing units!!2 units","UNITS IN STRUCTURE!!Total housing units!!3 or 4 units","UNITS IN STRUCTURE!!Total housing units!!5 to 9 units","UNITS IN STRUCTURE!!Total housing units!!10 to 19 units","UNITS IN STRUCTURE!!Total housing units!!20 or more units","UNITS IN STRUCTURE!!Total housing units!!Mobile home","UNITS IN STRUCTURE!!Total housing units!!Boat, RV, van, etc.","YEAR STRUCTURE BUILT","YEAR STRUCTURE BUILT!!Total housing units","YEAR STRUCTURE BUILT!!Total housing units!!Built 2014 or later","YEAR STRUCTURE BUILT!!Total housing units!!Built 2010 to 2013","YEAR STRUCTURE BUILT!!Total housing units!!Built 2000 to 2009","YEAR STRUCTURE BUILT!!Total housing units!!Built 1990 to 1999","YEAR STRUCTURE BUILT!!Total housing units!!Built 1980 to 1989","YEAR STRUCTURE BUILT!!Total housing units!!Built 1970 to 1979","YEAR STRUCTURE BUILT!!Total housing units!!Built 1960 to 1969","YEAR STRUCTURE BUILT!!Total housing units!!Built 1950 to 1959","YEAR STRUCTURE BUILT!!Total housing units!!Built 1940 to 1949","YEAR STRUCTURE BUILT!!Total housing units!!Built 1939 or earlier","ROOMS","ROOMS!!Total housing units","ROOMS!!Total housing units!!1 room","ROOMS!!Total housing units!!2 rooms","ROOMS!!Total housing units!!3 rooms","ROOMS!!Total housing units!!4 rooms","ROOMS!!Total housing units!!5 rooms","ROOMS!!Total housing units!!6 rooms","ROOMS!!Total housing units!!7 rooms","ROOMS!!Total housing units!!8 rooms","ROOMS!!Total housing units!!9 rooms or more","ROOMS!!Total housing units!!Median rooms","BEDROOMS","BEDROOMS!!Total housing units","BEDROOMS!!Total housing units!!No bedroom","BEDROOMS!!Total housing units!!1 bedroom","BEDROOMS!!Total housing units!!2 bedrooms","BEDROOMS!!Total housing units!!3 bedrooms","BEDROOMS!!Total housing units!!4 bedrooms","BEDROOMS!!Total housing units!!5 or more bedrooms","HOUSING TENURE","HOUSING TENURE!!Occupied housing units","HOUSING TENURE!!Occupied housing units!!Owner-occupied","HOUSING TENURE!!Occupied housing units!!Renter-occupied","HOUSING TENURE!!Occupied housing units!!Average household size of owner-occupied unit","HOUSING TENURE!!Occupied housing units!!Average household size of renter-occupied unit","YEAR HOUSEHOLDER MOVED INTO UNIT","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2019 or later","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2015 to 2018","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2010 to 2014","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 2000 to 2009","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1990 to 1999","YEAR HOUSEHOLDER MOVED INTO UNIT!!Occupied housing units!!Moved in 1989 and earlier","VEHICLES AVAILABLE","VEHICLES AVAILABLE!!Occupied housing units","VEHICLES AVAILABLE!!Occupied housing units!!No vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!1 vehicle available","VEHICLES AVAILABLE!!Occupied housing units!!2 vehicles available","VEHICLES AVAILABLE!!Occupied housing units!!3 or more vehicles available","HOUSE HEATING FUEL","HOUSE HEATING FUEL!!Occupied housing units","HOUSE HEATING FUEL!!Occupied housing units!!Utility gas","HOUSE HEATING FUEL!!Occupied housing units!!Bottled, tank, or LP gas","HOUSE HEATING FUEL!!Occupied housing units!!Electricity","HOUSE HEATING FUEL!!Occupied housing units!!Fuel oil, kerosene, etc.","HOUSE HEATING FUEL!!Occupied housing units!!Coal or coke","HOUSE HEATING FUEL!!Occupied housing units!!Wood","HOUSE HEATING FUEL!!Occupied housing units!!Solar energy","HOUSE HEATING FUEL!!Occupied housing units!!Other fuel","HOUSE HEATING FUEL!!Occupied housing units!!No fuel used","SELECTED CHARACTERISTICS","SELECTED CHARACTERISTICS!!Occupied housing units","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities","SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available","OCCUPANTS PER ROOM","OCCUPANTS PER ROOM!!Occupied housing units","OCCUPANTS PER ROOM!!Occupied housing units!!1.00 or less","OCCUPANTS PER ROOM!!Occupied housing units!!1.01 to 1.50","OCCUPANTS PER ROOM!!Occupied housing units!!1.51 or more","VALUE","VALUE!!Owner-occupied units","VALUE!!Owner-occupied units!!Less than $50,000","VALUE!!Owner-occupied units!!$50,000 to $99,999","VALUE!!Owner-occupied units!!$100,000 to $149,999","VALUE!!Owner-occupied units!!$150,000 to $199,999","VALUE!!Owner-occupied units!!$200,000 to $299,999","VALUE!!Owner-occupied units!!$300,000 to $499,999","VALUE!!Owner-occupied units!!$500,000 to $999,999","VALUE!!Owner-occupied units!!$1,000,000 or more","VALUE!!Owner-occupied units!!Median (dollars)","MORTGAGE STATUS","MORTGAGE STATUS!!Owner-occupied units","MORTGAGE STATUS!!Owner-occupied units!!Housing units with a mortgage","MORTGAGE STATUS!!Owner-occupied units!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Less than $500","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$500 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,000 to $1,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$1,500 to $1,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,000 to $2,499","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$2,500 to $2,999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!$3,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units with a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Less than $250","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$250 to $399","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$400 to $599","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$600 to $799","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$800 to $999","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!$1,000 or more","SELECTED MONTHLY OWNER COSTS (SMOC)!!Housing units without a mortgage!!Median (dollars)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 20.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing units with a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Less than 10.0 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!10.0 to 14.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!15.0 to 19.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!20.0 to 24.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!25.0 to 29.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!30.0 to 34.9 percent","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!35.0 percent or more","SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI)!!Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed)!!Not computed","GROSS RENT","GROSS RENT!!Occupied units paying rent","GROSS RENT!!Occupied units paying rent!!Less than $500","GROSS RENT!!Occupied units paying rent!!$500 to $999","GROSS RENT!!Occupied units paying rent!!$1,000 to $1,499","GROSS RENT!!Occupied units paying rent!!$1,500 to $1,999","GROSS RENT!!Occupied units paying rent!!$2,000 to $2,499","GROSS RENT!!Occupied units paying rent!!$2,500 to $2,999","GROSS RENT!!Occupied units paying rent!!$3,000 or more","GROSS RENT!!Occupied units paying rent!!Median (dollars)","GROSS RENT!!Occupied units paying rent!!No rent paid","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Less than 15.0 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!15.0 to 19.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!20.0 to 24.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!25.0 to 29.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!30.0 to 34.9 percent","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!35.0 percent or more","GROSS RENT AS A PERCENTAGE OF HOUSEHOLD INCOME (GRAPI)!!Occupied units paying rent (excluding units where GRAPI cannot be computed)!!Not computed"
"Alabama","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,270,398","1,888,504","381,894","1.6","9.6","","2,270,398","1,559,486","37,315","45,054","66,766","95,518","74,170","92,762","296,231","3,096","","2,270,398","78,866","89,011","347,613","411,992","333,062","363,252","256,716","187,074","87,254","115,558","","2,270,398","33,009","26,658","128,205","314,989","504,929","464,202","315,104","213,269","270,033","5.8","","2,270,398","35,353","138,144","509,414","1,120,450","381,023","86,014","","1,888,504","1,306,505","581,999","2.60","2.37","","1,888,504","81,828","507,289","352,501","434,702","244,679","267,505","","1,888,504","111,849","597,954","694,746","483,955","","1,888,504","507,973","108,559","1,241,875","2,368","324","16,466","144","1,463","9,332","","1,888,504","7,095","12,813","34,587","","1,888,504","1,857,057","21,291","10,156","","1,306,505","163,271","257,661","234,136","216,854","230,444","144,420","49,149","10,570","149,600","","1,306,505","727,377","579,128","","727,377","15,755","230,103","262,106","123,481","52,439","21,151","22,342","1,196","579,128","118,431","217,799","167,385","49,185","14,484","11,844","367","","723,132","391,857","101,524","61,079","40,095","128,577","4,245","568,958","296,998","104,676","57,507","31,932","20,832","12,196","44,817","10,170","","520,997","82,188","285,147","122,518","23,234","4,543","1,387","1,980","811","61,002","","502,810","78,037","66,413","61,429","59,337","42,640","194,954","79,189"
"    Margin of Error","","±320","±5,749","±5,807","±0.1","±0.3","","±320","±5,718","±1,587","±1,419","±2,232","±2,833","±2,697","±2,503","±3,712","±415","","±320","±2,223","±2,722","±4,881","±3,885","±4,468","±4,388","±3,796","±3,521","±2,502","±2,522","","±320","±1,467","±1,354","±3,354","±3,994","±6,238","±4,865","±4,255","±3,530","±4,092","±0.1","","±320","±1,566","±3,021","±5,134","±6,022","±5,061","±2,011","","±5,749","±8,890","±5,958","±0.01","±0.02","","±5,749","±2,661","±4,951","±4,521","±4,931","±3,327","±3,350","","±5,749","±2,615","±5,205","±6,255","±5,913","","±5,749","±4,825","±2,292","±5,435","±390","±142","±1,030","±75","±243","±944","","±5,749","±865","±929","±1,675","","±5,749","±6,043","±1,319","±845","","±8,890","±2,782","±3,834","±3,718","±3,672","±3,594","±2,827","±1,532","±839","±973","","±8,890","±6,806","±5,828","","±6,806","±842","±3,611","±4,220","±2,818","±2,104","±1,003","±1,121","±6","±5,828","±2,445","±3,236","±3,400","±1,750","±896","±1,047","±2","","±6,824","±5,394","±2,833","±1,891","±1,549","±2,994","±513","±5,638","±4,418","±3,007","±1,955","±1,393","±1,124","±797","±1,785","±937","","±5,474","±2,274","±4,256","±3,261","±1,351","±509","±312","±416","±5","±2,080","","±5,339","±2,176","±2,160","±2,261","±2,072","±1,749","±3,078","±2,479"
"    Percent","","2,270,398","83.2%","16.8%","(X)","(X)","","2,270,398","68.7%","1.6%","2.0%","2.9%","4.2%","3.3%","4.1%","13.0%","0.1%","","2,270,398","3.5%","3.9%","15.3%","18.1%","14.7%","16.0%","11.3%","8.2%","3.8%","5.1%","","2,270,398","1.5%","1.2%","5.6%","13.9%","22.2%","20.4%","13.9%","9.4%","11.9%","(X)","","2,270,398","1.6%","6.1%","22.4%","49.4%","16.8%","3.8%","","1,888,504","69.2%","30.8%","(X)","(X)","","1,888,504","4.3%","26.9%","18.7%","23.0%","13.0%","14.2%","","1,888,504","5.9%","31.7%","36.8%","25.6%","","1,888,504","26.9%","5.7%","65.8%","0.1%","0.0%","0.9%","0.0%","0.1%","0.5%","","1,888,504","0.4%","0.7%","1.8%","","1,888,504","98.3%","1.1%","0.5%","","1,306,505","12.5%","19.7%","17.9%","16.6%","17.6%","11.1%","3.8%","0.8%","(X)","","1,306,505","55.7%","44.3%","","727,377","2.2%","31.6%","36.0%","17.0%","7.2%","2.9%","3.1%","(X)","579,128","20.4%","37.6%","28.9%","8.5%","2.5%","2.0%","(X)","","723,132","54.2%","14.0%","8.4%","5.5%","17.8%","(X)","568,958","52.2%","18.4%","10.1%","5.6%","3.7%","2.1%","7.9%","(X)","","520,997","15.8%","54.7%","23.5%","4.5%","0.9%","0.3%","0.4%","(X)","(X)","","502,810","15.5%","13.2%","12.2%","11.8%","8.5%","38.8%","(X)"
"    Percent Margin of Error","","(X)","±0.3","±0.3","(X)","(X)","","(X)","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","","(X)","±0.1","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","±0.2","±0.3","±0.2","±0.2","±0.2","±0.2","(X)","","(X)","±0.1","±0.1","±0.2","±0.3","±0.2","±0.1","","(X)","±0.3","±0.3","(X)","(X)","","(X)","±0.1","±0.3","±0.2","±0.2","±0.2","±0.2","","(X)","±0.1","±0.3","±0.3","±0.3","","(X)","±0.2","±0.1","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","","(X)","±0.1","±0.1","±0.1","","(X)","±0.2","±0.3","±0.2","±0.2","±0.3","±0.2","±0.1","±0.1","(X)","","(X)","±0.3","±0.3","","(X)","±0.1","±0.4","±0.5","±0.3","±0.3","±0.1","±0.2","(X)","(X)","±0.4","±0.4","±0.5","±0.3","±0.2","±0.2","(X)","","(X)","±0.5","±0.4","±0.3","±0.2","±0.4","(X)","(X)","±0.6","±0.5","±0.3","±0.2","±0.2","±0.1","±0.3","(X)","","(X)","±0.4","±0.6","±0.6","±0.3","±0.1","±0.1","±0.1","(X)","(X)","","(X)","±0.4","±0.4","±0.4","±0.4","±0.3","±0.5","(X)"
"Alaska","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","318,370","255,173","63,197","1.7","7.6","","318,370","200,622","23,696","17,295","23,257","14,546","8,692","15,561","14,161","540","","318,370","7,614","9,157","49,984","45,343","83,117","73,066","25,362","14,699","4,875","5,153","","318,370","19,243","23,364","38,637","62,931","57,615","42,965","27,469","20,400","25,746","4.8","","318,370","19,898","42,648","83,611","111,346","50,265","10,602","","255,173","165,376","89,797","2.89","2.58","","255,173","15,176","79,206","50,314","56,185","27,611","26,681","","255,173","23,627","78,820","94,164","58,562","","255,173","124,282","4,627","33,310","74,666","895","13,381","60","2,480","1,472","","255,173","9,512","7,274","3,987","","255,173","238,646","9,611","6,916","","165,376","10,208","8,210","10,338","16,846","48,392","54,599","15,502","1,281","275,600","","165,376","102,364","63,012","","102,364","822","5,678","19,585","28,687","22,487","12,412","12,693","1,937","63,012","7,134","9,573","15,583","14,381","8,476","7,865","591","","102,127","44,233","17,257","11,473","7,739","21,425","237","62,600","31,116","11,853","6,534","3,408","2,349","1,412","5,928","412","","82,317","5,017","20,699","29,036","15,564","9,071","2,004","926","1,240","7,480","","81,827","11,871","12,156","12,057","9,581","7,668","28,494","7,970"
"    Margin of Error","","±179","±1,326","±1,311","±0.2","±0.7","","±179","±1,666","±978","±999","±1,031","±828","±752","±880","±887","±166","","±179","±715","±579","±1,387","±1,282","±1,959","±1,864","±1,100","±757","±500","±420","","±179","±733","±987","±1,036","±1,739","±1,718","±1,248","±1,084","±1,064","±1,276","±0.1","","±179","±750","±1,285","±1,460","±1,845","±1,491","±711","","±1,326","±1,894","±1,820","±0.02","±0.04","","±1,326","±1,138","±1,894","±1,415","±1,425","±1,204","±935","","±1,326","±1,070","±1,771","±2,012","±1,550","","±1,326","±1,357","±387","±1,258","±1,356","±204","±563","±37","±356","±260","","±1,326","±605","±538","±370","","±1,326","±1,371","±699","±565","","±1,894","±642","±519","±714","±838","±1,545","±1,246","±794","±210","±2,308","","±1,894","±1,798","±1,469","","±1,798","±180","±494","±908","±1,059","±1,103","±752","±722","±18","±1,469","±495","±543","±710","±933","±569","±666","±11","","±1,802","±1,387","±970","±914","±668","±1,077","±71","±1,438","±1,027","±886","±551","±473","±305","±228","±538","±131","","±1,768","±484","±1,049","±1,170","±748","±797","±280","±202","±16","±521","","±1,748","±815","±968","±879","±804","±677","±1,093","±539"
"    Percent","","318,370","80.1%","19.9%","(X)","(X)","","318,370","63.0%","7.4%","5.4%","7.3%","4.6%","2.7%","4.9%","4.4%","0.2%","","318,370","2.4%","2.9%","15.7%","14.2%","26.1%","23.0%","8.0%","4.6%","1.5%","1.6%","","318,370","6.0%","7.3%","12.1%","19.8%","18.1%","13.5%","8.6%","6.4%","8.1%","(X)","","318,370","6.2%","13.4%","26.3%","35.0%","15.8%","3.3%","","255,173","64.8%","35.2%","(X)","(X)","","255,173","5.9%","31.0%","19.7%","22.0%","10.8%","10.5%","","255,173","9.3%","30.9%","36.9%","22.9%","","255,173","48.7%","1.8%","13.1%","29.3%","0.4%","5.2%","0.0%","1.0%","0.6%","","255,173","3.7%","2.9%","1.6%","","255,173","93.5%","3.8%","2.7%","","165,376","6.2%","5.0%","6.3%","10.2%","29.3%","33.0%","9.4%","0.8%","(X)","","165,376","61.9%","38.1%","","102,364","0.8%","5.5%","19.1%","28.0%","22.0%","12.1%","12.4%","(X)","63,012","11.3%","15.2%","24.7%","22.8%","13.5%","12.5%","(X)","","102,127","43.3%","16.9%","11.2%","7.6%","21.0%","(X)","62,600","49.7%","18.9%","10.4%","5.4%","3.8%","2.3%","9.5%","(X)","","82,317","6.1%","25.1%","35.3%","18.9%","11.0%","2.4%","1.1%","(X)","(X)","","81,827","14.5%","14.9%","14.7%","11.7%","9.4%","34.8%","(X)"
"    Percent Margin of Error","","(X)","±0.4","±0.4","(X)","(X)","","(X)","±0.5","±0.3","±0.3","±0.3","±0.3","±0.2","±0.3","±0.3","±0.1","","(X)","±0.2","±0.2","±0.4","±0.4","±0.6","±0.6","±0.3","±0.2","±0.2","±0.1","","(X)","±0.2","±0.3","±0.3","±0.5","±0.5","±0.4","±0.3","±0.3","±0.4","(X)","","(X)","±0.2","±0.4","±0.5","±0.6","±0.5","±0.2","","(X)","±0.7","±0.7","(X)","(X)","","(X)","±0.4","±0.7","±0.5","±0.6","±0.5","±0.4","","(X)","±0.4","±0.7","±0.7","±0.6","","(X)","±0.5","±0.2","±0.5","±0.5","±0.1","±0.2","±0.1","±0.1","±0.1","","(X)","±0.2","±0.2","±0.1","","(X)","±0.3","±0.3","±0.2","","(X)","±0.4","±0.3","±0.4","±0.5","±0.8","±0.7","±0.5","±0.1","(X)","","(X)","±0.8","±0.8","","(X)","±0.2","±0.5","±0.8","±0.9","±1.1","±0.7","±0.7","(X)","(X)","±0.7","±0.8","±1.0","±1.2","±0.8","±1.0","(X)","","(X)","±1.2","±0.9","±0.9","±0.6","±1.0","(X)","(X)","±1.4","±1.2","±0.9","±0.7","±0.5","±0.4","±0.8","(X)","","(X)","±0.6","±1.1","±1.3","±0.8","±0.9","±0.3","±0.2","(X)","(X)","","(X)","±1.0","±1.1","±1.0","±1.0","±0.8","±1.1","(X)"
"Arizona","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
